fit_time,index,n_neighbors,name,score,score_time
0.3100001811981201,1,1,KNN,0.723431974688256,0.7159998416900635
0.3000001907348633,2,2,KNN,0.7840126558719523,0.9199998378753662
0.43400001525878906,3,3,KNN,0.7561883491531732,0.7330000400543213
0.29399991035461426,4,4,KNN,0.7922017494881817,0.7300000190734863
0.31100010871887207,5,5,KNN,0.7781500093057881,0.7200000286102295
0.3059999942779541,6,6,KNN,0.7952726595942676,0.7699999809265137
0.3559999465942383,7,7,KNN,0.7885724920900801,0.8299999237060547
0.31599998474121094,8,8,KNN,0.7990880327563744,0.9539999961853027
0.3320000171661377,9,9,KNN,0.7948073701842546,0.8510000705718994
0.33699989318847656,10,10,KNN,0.7989949748743719,0.817000150680542
0.315000057220459,11,11,KNN,0.7943420807742416,0.8350000381469727
0.32200002670288086,12,12,KNN,0.800390843104411,0.8509998321533203
0.3530001640319824,13,13,KNN,0.7989019169923692,0.8639998435974121
0.33299994468688965,14,14,KNN,0.8019728270984552,0.874000072479248
0.3269999027252197,15,15,KNN,0.8005769588684162,0.9260001182556152
0.32899999618530273,16,16,KNN,0.8027172901544761,0.9110000133514404
0.32899999618530273,17,17,KNN,0.8028103480364787,0.9199998378753662
0.31599998474121094,18,18,KNN,0.8032756374464917,0.8599998950958252
0.31399989128112793,19,19,KNN,0.8037409268565048,0.8600001335144043
0.3299999237060547,20,20,KNN,0.8033686953284943,0.8859999179840088
0.3169999122619629,21,21,KNN,0.8036478689745021,0.9110000133514404
0.34200000762939453,22,22,KNN,0.803461753210497,0.9189999103546143
0.32700014114379883,23,23,KNN,0.8035548110924995,0.9309999942779541
0.3640000820159912,24,24,KNN,0.8037409268565048,0.9549999237060547
0.3580000400543213,25,25,KNN,0.8038339847385073,0.9159998893737793
0.3190000057220459,26,26,KNN,0.8026242322724735,0.9289999008178711
0.33100008964538574,27,27,KNN,0.802996463800484,0.9539999961853027
0.32200002670288086,28,28,KNN,0.801321421924437,0.9519999027252197
0.32899999618530273,29,29,KNN,0.8016936534524475,0.9570000171661377
0.32399988174438477,30,30,KNN,0.8016936534524475,0.9639999866485596
0.33500003814697266,31,31,KNN,0.8016936534524475,1.0290000438690186
0.3340001106262207,32,32,KNN,0.8009491903964265,0.9849998950958252
0.3299999237060547,33,33,KNN,0.8014144798064397,0.940000057220459
0.31100010871887207,34,34,KNN,0.800856132514424,0.9489998817443848
0.3040001392364502,35,35,KNN,0.8006700167504187,0.9639999866485596
0.3080000877380371,36,36,KNN,0.7999255536943979,0.9900000095367432
0.32899999618530273,37,37,KNN,0.800390843104411,0.9749999046325684
0.3299999237060547,38,38,KNN,0.8001116694584032,0.9900000095367432
0.32000017166137695,39,39,KNN,0.8004839009864135,0.9879999160766602
0.3020000457763672,40,40,KNN,0.7997394379303927,0.994999885559082
0.30699992179870605,41,41,KNN,0.8000186115764005,1.0450000762939453
0.3039999008178711,42,42,KNN,0.7989949748743719,0.9960000514984131
0.30900001525878906,43,43,KNN,0.7992741485203797,1.0250000953674316
0.2999999523162842,44,44,KNN,0.7979713381723432,1.0520000457763672
0.3039999008178711,45,45,KNN,0.7984366275823562,1.0500001907348633
0.30900001525878906,46,46,KNN,0.7974129908803276,1.2230000495910645
0.375,47,47,KNN,0.7975991066443328,1.2250001430511475
0.32400012016296387,48,48,KNN,0.7973199329983249,1.2269999980926514
0.34400010108947754,49,49,KNN,0.7973199329983249,1.185999870300293
0.33899998664855957,50,50,KNN,0.7968546435883119,1.2319998741149902
