fit_time,index,n_neighbors,name,score,score_time
0.36100006103515625,1,1,KNN,0.723431974688256,0.7379999160766602
0.3580000400543213,2,2,KNN,0.6436813698120231,0.7539999485015869
0.34999990463256836,3,3,KNN,0.7561883491531732,0.7410001754760742
0.3489999771118164,4,4,KNN,0.722966685278243,0.8029999732971191
0.3689999580383301,5,5,KNN,0.7781500093057881,0.7480001449584961
0.34800004959106445,6,6,KNN,0.7604690117252931,0.7639999389648438
0.36500000953674316,7,7,KNN,0.7885724920900801,0.7699999809265137
0.3530001640319824,8,8,KNN,0.7792667038898194,0.7809998989105225
0.34599995613098145,9,9,KNN,0.7948073701842546,0.7850000858306885
0.35199999809265137,10,10,KNN,0.7886655499720826,0.7939999103546143
