fit_time,index,n_neighbors,name,score,score_time
0.002000093460083008,1,1,KNN,0.9422066549912435,0.01399993896484375
0.002000093460083008,2,2,KNN,0.9597197898423818,0.01399993896484375
0.0019998550415039062,3,3,KNN,0.9632224168126094,0.015000104904174805
0.0009999275207519531,4,4,KNN,0.957968476357268,0.01699995994567871
0.0019998550415039062,5,5,KNN,0.9614711033274956,0.016000032424926758
0.0009999275207519531,6,6,KNN,0.9562171628721541,0.01699995994567871
0.0010001659393310547,7,7,KNN,0.9562171628721541,0.019999980926513672
0.002000093460083008,8,8,KNN,0.9562171628721541,0.019999980926513672
0.0019998550415039062,9,9,KNN,0.9562171628721541,0.018000125885009766
0.0009999275207519531,10,10,KNN,0.9562171628721541,0.019999980926513672
