fit_time,index,n_neighbors,name,score,score_time
0.0010001659393310547,1,1,KNN,0.8126094570928196,0.01399993896484375
0.002000093460083008,2,2,KNN,0.8283712784588442,0.01399993896484375
0.002000093460083008,3,3,KNN,0.8528896672504378,0.017999887466430664
0.002000093460083008,4,4,KNN,0.8283712784588442,0.016000032424926758
0.002000093460083008,5,5,KNN,0.8669001751313485,0.014999866485595703
0.0010001659393310547,6,6,KNN,0.840630472854641,0.016000032424926758
0.0009999275207519531,7,7,KNN,0.8791593695271454,0.019999980926513672
0.002000093460083008,8,8,KNN,0.830122591943958,0.01900005340576172
0.0009999275207519531,9,9,KNN,0.8581436077057794,0.01900005340576172
0.002000093460083008,10,10,KNN,0.830122591943958,0.018999814987182617
