fit_time,index,n_neighbors,name,score,score_time
0.0009999275207519531,1,1,KNN,0.7565674255691769,0.014000177383422852
0.002000093460083008,2,2,KNN,0.7460595446584939,0.01399993896484375
0.003000020980834961,3,3,KNN,0.830122591943958,0.01699995994567871
0.002000093460083008,4,4,KNN,0.809106830122592,0.014999866485595703
0.002000093460083008,5,5,KNN,0.8493870402802102,0.01699995994567871
0.002000093460083008,6,6,KNN,0.8388791593695272,0.016000032424926758
0.0029997825622558594,7,7,KNN,0.840630472854641,0.020000219345092773
0.0009999275207519531,8,8,KNN,0.8441330998248686,0.018000125885009766
0.002000093460083008,9,9,KNN,0.8336252189141856,0.017999887466430664
0.002000093460083008,10,10,KNN,0.8283712784588442,0.01699995994567871
