fit_time,index,n_neighbors,name,score,score_time
0.0019998550415039062,1,1,KNN,0.9387040280210157,0.015000104904174805
0.0019998550415039062,2,2,KNN,0.9527145359019265,0.014000177383422852
0.002000093460083008,3,3,KNN,0.9509632224168126,0.017999887466430664
0.002000093460083008,4,4,KNN,0.957968476357268,0.019999980926513672
0.002000093460083008,5,5,KNN,0.9544658493870403,0.016000032424926758
0.002000093460083008,6,6,KNN,0.9597197898423818,0.01900005340576172
0.0019998550415039062,7,7,KNN,0.957968476357268,0.018000125885009766
0.0009999275207519531,8,8,KNN,0.9632224168126094,0.018000125885009766
0.0019998550415039062,9,9,KNN,0.9614711033274956,0.01699995994567871
0.0009999275207519531,10,10,KNN,0.9649737302977233,0.018000125885009766
