fit_time,index,n_neighbors,name,score,score_time
0.002000093460083008,1,1,KNN,0.819614711033275,0.013000011444091797
0.0010001659393310547,2,2,KNN,0.8143607705779334,0.014999866485595703
0.0019998550415039062,3,3,KNN,0.8914185639229422,0.01399993896484375
0.0009999275207519531,4,4,KNN,0.9036777583187391,0.017999887466430664
0.002000093460083008,5,5,KNN,0.9281961471103327,0.020999908447265625
0.0019998550415039062,6,6,KNN,0.9352014010507881,0.018000125885009766
0.0009999275207519531,7,7,KNN,0.9246935201401051,0.029000043869018555
0.0009999275207519531,8,8,KNN,0.9387040280210157,0.019999980926513672
0.002000093460083008,9,9,KNN,0.9176882661996497,0.017999887466430664
0.002000093460083008,10,10,KNN,0.9299474605954466,0.017999887466430664
