fit_time,index,name,score,score_time
0.6999998092651367,"2
(15.15)",Neural Network w/ 2 layers,0.9509632224168126,0.0
0.8190000057220459,"3
(15.15.15)",Neural Network w/ 3 layers,0.9719789842381786,0.0
0.6510000228881836,"4
(15.15.15.15)",Neural Network w/ 4 layers,0.9667250437828371,0.0
0.6099998950958252,"5
(15.15.15.15.15)",Neural Network w/ 5 layers,0.9562171628721541,0.0
