degree,fit_time,gamma,index,kernel,name,score,score_time
3,0.003999948501586914,auto,linear (3),linear,SVM,0.9842381786339754,0.0010001659393310547
4,0.004000186920166016,auto,linear (4),linear,SVM,0.9842381786339754,0.0019998550415039062
3,0.009000062942504883,0.66,poly (3),poly,SVM,0.9929947460595446,0.0019998550415039062
4,0.007999897003173828,0.66,poly (4),poly,SVM,0.9807355516637478,0.0009999275207519531
3,0.012000083923339844,0.66,rbf (3),rbf,SVM,0.9614711033274956,0.003999948501586914
4,0.009999990463256836,0.66,rbf (4),rbf,SVM,0.9614711033274956,0.003999948501586914
3,0.00599980354309082,auto,sigmoid (3),sigmoid,SVM,0.9562171628721541,0.003000020980834961
4,0.006000041961669922,auto,sigmoid (4),sigmoid,SVM,0.9562171628721541,0.002000093460083008
