degree,fit_time,gamma,index,kernel,name,score,score_time
3,0.009999990463256836,auto,linear (3),linear,SVM,0.9614711033274956,0.002000093460083008
4,0.009999990463256836,auto,linear (4),linear,SVM,0.9614711033274956,0.003000020980834961
3,0.02499985694885254,0.66,poly (3),poly,SVM,0.9947460595446584,0.003000020980834961
4,0.01699995994567871,0.66,poly (4),poly,SVM,0.9929947460595446,0.003999948501586914
3,0.0409998893737793,0.66,rbf (3),rbf,SVM,0.9754816112084063,0.013000011444091797
4,0.037000179290771484,0.66,rbf (4),rbf,SVM,0.9754816112084063,0.01399993896484375
3,0.023999929428100586,auto,sigmoid (3),sigmoid,SVM,0.9334500875656743,0.009999990463256836
4,0.02499985694885254,auto,sigmoid (4),sigmoid,SVM,0.9334500875656743,0.009000062942504883
