degree,fit_time,gamma,index,kernel,name,score,score_time
3,0.016000032424926758,auto,linear (3),linear,SVM,0.9387040280210157,0.004999876022338867
4,0.016000032424926758,auto,linear (4),linear,SVM,0.9387040280210157,0.003999948501586914
3,0.03099989891052246,0.66,poly (3),poly,SVM,0.9702276707530648,0.006000041961669922
4,0.029000043869018555,0.66,poly (4),poly,SVM,0.9509632224168126,0.006999969482421875
3,0.06100010871887207,0.66,rbf (3),rbf,SVM,0.9176882661996497,0.016000032424926758
4,0.059999942779541016,0.66,rbf (4),rbf,SVM,0.9176882661996497,0.017000198364257812
3,0.03299999237060547,auto,sigmoid (3),sigmoid,SVM,0.830122591943958,0.009999990463256836
4,0.031000137329101562,auto,sigmoid (4),sigmoid,SVM,0.830122591943958,0.011999845504760742
