degree,fit_time,gamma,index,kernel,name,score,score_time
3,0.003999948501586914,auto,linear (3),linear,SVM,0.968476357267951,0.002000093460083008
4,0.005000114440917969,auto,linear (4),linear,SVM,0.968476357267951,0.0009999275207519531
3,0.009000062942504883,0.66,poly (3),poly,SVM,0.9702276707530648,0.003000020980834961
4,0.009999990463256836,0.66,poly (4),poly,SVM,0.9632224168126094,0.002000093460083008
3,0.011999845504760742,0.66,rbf (3),rbf,SVM,0.957968476357268,0.005000114440917969
4,0.012000083923339844,0.66,rbf (4),rbf,SVM,0.957968476357268,0.004999876022338867
3,0.009000062942504883,auto,sigmoid (3),sigmoid,SVM,0.9649737302977233,0.003000020980834961
4,0.00599980354309082,auto,sigmoid (4),sigmoid,SVM,0.9649737302977233,0.003000020980834961
