fit_time,index,n_neighbors,name,score,score_time
0.002000093460083008,1,1,KNN,0.819614711033275,0.009000062942504883
0.0,2,2,KNN,0.8143607705779334,0.019999980926513672
0.0,3,3,KNN,0.8914185639229422,0.008999824523925781
0.01100015640258789,4,4,KNN,0.9036777583187391,0.008999824523925781
0.01100015640258789,5,5,KNN,0.9281961471103327,0.01399993896484375
0.0,6,6,KNN,0.9352014010507881,0.015000104904174805
0.0,7,7,KNN,0.9246935201401051,0.019999980926513672
0.0,8,8,KNN,0.9387040280210157,0.015000104904174805
0.0,9,9,KNN,0.9176882661996497,0.02499985694885254
0.0,10,10,KNN,0.9299474605954466,0.016000032424926758
