fit_time,index,n_neighbors,name,score,score_time
0.0,1,1,KNN,0.9422066549912435,0.009999990463256836
0.0,2,2,KNN,0.9597197898423818,0.020999908447265625
0.0,3,3,KNN,0.9632224168126094,0.01900005340576172
0.004999876022338867,4,4,KNN,0.957968476357268,0.005000114440917969
0.009999990463256836,5,5,KNN,0.9614711033274956,0.010999917984008789
0.0,6,6,KNN,0.9562171628721541,0.019999980926513672
0.0,7,7,KNN,0.9562171628721541,0.019999980926513672
0.0,8,8,KNN,0.9562171628721541,0.023000001907348633
0.0019998550415039062,9,9,KNN,0.9562171628721541,0.01900005340576172
0.002000093460083008,10,10,KNN,0.9562171628721541,0.018999814987182617
