fit_time,index,n_neighbors,name,score,score_time
0.002000093460083008,1,1,KNN,0.9387040280210157,0.01699995994567871
0.002000093460083008,2,2,KNN,0.9527145359019265,0.01399993896484375
0.0,3,3,KNN,0.9509632224168126,0.01100015640258789
0.0,4,4,KNN,0.957968476357268,0.020999908447265625
0.006999969482421875,5,5,KNN,0.9544658493870403,0.010999917984008789
0.0,6,6,KNN,0.9597197898423818,0.020000219345092773
0.0,7,7,KNN,0.957968476357268,0.019999980926513672
0.0,8,8,KNN,0.9632224168126094,0.019999980926513672
0.010999917984008789,9,9,KNN,0.9614711033274956,0.010999917984008789
0.00800013542175293,10,10,KNN,0.9649737302977233,0.01900005340576172
