fit_time,index,n_neighbors,name,score,score_time
0.002000093460083008,1,1,KNN,0.8126094570928196,0.011999845504760742
0.0,2,2,KNN,0.8283712784588442,0.015000104904174805
0.003999948501586914,3,3,KNN,0.8528896672504378,0.017999887466430664
0.003000020980834961,4,4,KNN,0.8283712784588442,0.01699995994567871
0.0,5,5,KNN,0.8669001751313485,0.00800013542175293
0.0,6,6,KNN,0.840630472854641,0.012000083923339844
0.009000062942504883,7,7,KNN,0.8791593695271454,0.019999980926513672
0.0019998550415039062,8,8,KNN,0.830122591943958,0.01900005340576172
0.002000093460083008,9,9,KNN,0.8581436077057794,0.021999835968017578
0.0009999275207519531,10,10,KNN,0.830122591943958,0.015000104904174805
