fit_time,index,n_neighbors,name,score,score_time
0.010999917984008789,1,1,KNN,0.7565674255691769,0.013000011444091797
0.0,2,2,KNN,0.7460595446584939,0.017999887466430664
0.0019998550415039062,3,3,KNN,0.830122591943958,0.016000032424926758
0.0010001659393310547,4,4,KNN,0.809106830122592,0.016000032424926758
0.0009999275207519531,5,5,KNN,0.8493870402802102,0.01900005340576172
0.002000093460083008,6,6,KNN,0.8388791593695272,0.018999814987182617
0.003000020980834961,7,7,KNN,0.840630472854641,0.01900005340576172
0.002000093460083008,8,8,KNN,0.8441330998248686,0.019999980926513672
0.002000093460083008,9,9,KNN,0.8336252189141856,0.013000011444091797
0.0,10,10,KNN,0.8283712784588442,0.01900005340576172
