depth,fit_time,name,score,score_time
1,2.6670000553131104,Tree w/ depth of 1,0.8526893727898753,0.04999995231628418
2,3.991999864578247,Tree w/ depth of 2,0.8606923506420994,0.057000160217285156
3,5.773000001907349,Tree w/ depth of 3,0.8670202866182766,0.06400012969970703
4,7.242000102996826,Tree w/ depth of 4,0.8708356597803834,0.07499980926513672
5,8.782000064849854,Tree w/ depth of 5,0.8729759910664433,0.0839998722076416
6,10.438000202178955,Tree w/ depth of 6,0.8732551647124511,0.09199976921081543
7,11.945000171661377,Tree w/ depth of 7,0.8728829331844408,0.09999990463256836
8,13.352999925613403,Tree w/ depth of 8,0.8723245858924251,0.11899995803833008
9,16.121000051498413,Tree w/ depth of 9,0.8729759910664433,0.15399980545043945
10,17.59000015258789,Tree w/ depth of 10,0.8721384701284198,0.1380000114440918
11,19.020999908447266,Tree w/ depth of 11,0.8706495440163782,0.15200018882751465
12,21.187000036239624,Tree w/ depth of 12,0.8716731807184068,0.15599989891052246
