degree,fit_time,gamma,index,kernel,name,score,score_time
3,0.01100015640258789,auto,linear (3),linear,SVM,0.9614711033274956,0.0019998550415039062
4,0.010999917984008789,auto,linear (4),linear,SVM,0.9614711033274956,0.002000093460083008
3,0.020999908447265625,0.66,poly (3),poly,SVM,0.9947460595446584,0.003000020980834961
4,0.018000125885009766,0.66,poly (4),poly,SVM,0.9929947460595446,0.003999948501586914
3,0.04700016975402832,0.66,rbf (3),rbf,SVM,0.9754816112084063,0.013000011444091797
4,0.03699994087219238,0.66,rbf (4),rbf,SVM,0.9754816112084063,0.014000177383422852
3,0.026999950408935547,auto,sigmoid (3),sigmoid,SVM,0.9334500875656743,0.009000062942504883
4,0.023999929428100586,auto,sigmoid (4),sigmoid,SVM,0.9334500875656743,0.009000062942504883
