degree,fit_time,gamma,index,kernel,name,score,score_time
3,0.01699995994567871,auto,linear (3),linear,SVM,0.9387040280210157,0.003999948501586914
4,0.015000104904174805,auto,linear (4),linear,SVM,0.9387040280210157,0.003999948501586914
3,0.03500008583068848,0.66,poly (3),poly,SVM,0.9702276707530648,0.006000041961669922
4,0.029999971389770508,0.66,poly (4),poly,SVM,0.9509632224168126,0.006000041961669922
3,0.06099987030029297,0.66,rbf (3),rbf,SVM,0.9176882661996497,0.017000198364257812
4,0.06100010871887207,0.66,rbf (4),rbf,SVM,0.9176882661996497,0.01699995994567871
3,0.032000064849853516,auto,sigmoid (3),sigmoid,SVM,0.830122591943958,0.010999917984008789
4,0.03399991989135742,auto,sigmoid (4),sigmoid,SVM,0.830122591943958,0.012000083923339844
