degree,fit_time,gamma,index,kernel,name,score,score_time
3,0.00599980354309082,auto,linear (3),linear,SVM,0.968476357267951,0.003000020980834961
4,0.004000186920166016,auto,linear (4),linear,SVM,0.968476357267951,0.0009999275207519531
3,0.014000177383422852,0.66,poly (3),poly,SVM,0.9702276707530648,0.0019998550415039062
4,0.009999990463256836,0.66,poly (4),poly,SVM,0.9632224168126094,0.003999948501586914
3,0.013000011444091797,0.66,rbf (3),rbf,SVM,0.957968476357268,0.006000041961669922
4,0.014000177383422852,0.66,rbf (4),rbf,SVM,0.957968476357268,0.004999876022338867
3,0.007999897003173828,auto,sigmoid (3),sigmoid,SVM,0.9649737302977233,0.002000093460083008
4,0.006000041961669922,auto,sigmoid (4),sigmoid,SVM,0.9649737302977233,0.003000020980834961
