degree,fit_time,gamma,index,kernel,name,score,score_time
3,0.018000125885009766,auto,linear (3),linear,SVM,0.8038528896672504,0.003999948501586914
4,0.014000177383422852,auto,linear (4),linear,SVM,0.8038528896672504,0.004999876022338867
3,0.042999982833862305,0.66,poly (3),poly,SVM,0.9649737302977233,0.003999948501586914
4,0.03099989891052246,0.66,poly (4),poly,SVM,0.9492119089316988,0.004999876022338867
3,0.037000179290771484,0.66,rbf (3),rbf,SVM,0.9211908931698775,0.01399993896484375
4,0.0409998893737793,0.66,rbf (4),rbf,SVM,0.9211908931698775,0.014000177383422852
3,0.023999929428100586,auto,sigmoid (3),sigmoid,SVM,0.7705779334500875,0.009999990463256836
4,0.02499985694885254,auto,sigmoid (4),sigmoid,SVM,0.7705779334500875,0.009000062942504883
