1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,2.0,2.0,2.0,2.0
4,6.0,6.0,6.0,6.0
5,10.0,10.0,10.0,10.0
6,14.0,15.0,15.0,14.0
7,19.0,21.0,21.0,20.0
8,28.0,27.0,28.0,26.0
9,35.0,35.0,36.0,34.0
10,45.0,44.0,45.0,42.0
11,54.0,54.0,53.0,52.0
12,64.0,65.0,63.0,62.0
13,76.0,77.0,76.0,74.0
14,90.0,89.0,89.0,85.0
15,102.0,104.0,104.0,99.0
